dataset,n,format,raw_size_mib,compressed_size_mib,encode_seconds,decode_seconds,encode_mb_s,decode_mb_s,compression_ratio,encode_time_ratio,decode_time_ratio,encode_rss_mb,decode_rss_mb,trace_wall_seconds,trace_timeout,trace_target_seen,cpu_symbol_status,cpu_top_symbol,cpu_top_count,cpu_top_category,cpu_parse_hits,cpu_encode_hits,cpu_fse_hits,cpu_swift_array_hits,OS 版本,機器型號,encode_cpu_power_mw,decode_cpu_power_mw,encode_cpu_energy_j,decode_cpu_energy_j,encode_cpu_energy_ratio_tgz,decode_cpu_energy_ratio_tgz,encode_energy_impact,decode_energy_impact
資料夾,N,格式,原始大小(M),壓縮後(M),壓縮耗時(秒),解壓耗時(秒),壓縮 MB/s,解壓 MB/s,壓縮比,壓縮時間比,解壓時間比,Encode RSS(MB),Decode RSS(MB),Trace wall time(秒),Trace timeout,Trace target seen,CPU Symbol Status,CPU Top Symbol,CPU Top Count,CPU Top Category,CPU Parse Hits,CPU Encode Hits,CPU FSE Hits,CPU Swift Array Hits,OS 版本,機器型號,Encode CPU Power(mW),Decode CPU Power(mW),Encode CPU Energy(J),Decode CPU Energy(J),Encode CPU Energy Ratio (TGZ=1),Decode CPU Energy Ratio (TGZ=1),Encode Energy Impact,Decode Energy Impact
claw-code,4,TGZ,1351M,469M,4.33,2.18,327.13,651.15,1.0000,1.00,1.00,166.2,41.7,32.19,no,yes,ok,0x1a418290c,78,other,,,,,27.0 (26A5406e),"Mac16,10",16161.111,4257.500,69.496495,7.096690,1.0000,1.0000,,
claw-code,4,LZFSE (Other3),1351M,460M,3.35,1.52,422.25,931.55,0.9813,0.77,0.70,135.1,65.8,60.63,no,yes,ok,specialized static LZFSEv1.encodeBlock(triplets:literals:rawBytes:),226,encode,342,289,,283,27.0 (26A5406e),"Mac16,10",15486.429,10648.000,51.624305,7.248005,0.7428,1.0213,,
claw-code,4,LZFSE (Optimal3),1351M,438M,32.22,1.47,43.95,964.90,0.9346,7.44,0.67,216.2,65.9,60.65,no,yes,ok,specialized closure #1 in static LZFSEv1.lzParseOptimal2(_:maxL:maxM:maxDist:),654,parse,987,290,,253,27.0 (26A5406e),"Mac16,10",16521.238,11397.500,533.344881,6.763527,7.6744,0.9531,,
claw-code,4,LZFSE (Lazy2),1351M,407M,25.35,2.03,55.87,696.02,0.8690,5.85,0.93,197.6,66.3,60.65,no,yes,ok,"specialized Array.withUnsafeBufferPointer<A, B>(_:)",406,swift_array,1222,380,,558,27.0 (26A5406e),"Mac16,10",6132.920,11427.800,154.515081,9.175674,2.2234,1.2930,,
claw-code,4,LZFSE (Optimal),1351M,387M,53.20,2.53,26.62,560.30,0.8257,12.29,1.16,243.7,70.3,60.64,no,yes,ok,specialized closure #1 in static LZFSEv1.lzParseOptimal(_:maxL:maxM:maxDist:),863,parse,1296,384,,317,27.0 (26A5406e),"Mac16,10",12913.400,11535.600,691.155281,9.199607,9.9452,1.2963,,
claw-code,4,LZFSE (BVX3),1351M,433M,3.36,2.66,422.10,533.15,0.9248,0.78,1.22,123.8,68.3,60.65,no,yes,ok,specialized static LZFSEv1.encodeBlockV3(triplets:literals:rawBytes:),286,encode,326,368,,335,27.0 (26A5406e),"Mac16,10",15532.143,11035.333,51.072591,9.874467,0.7349,1.3914,,
claw-code,4,LZFSE (Apple),1351M,460M,9.08,1.94,155.99,728.77,0.9820,2.10,0.89,1356.4,470.2,60.64,no,yes,ok,lzfseEncodeMatches,86,apple_lzfse,,,,,27.0 (26A5406e),"Mac16,10",5380.000,4803.400,47.726152,3.918849,0.6867,0.5522,,
claw-code,4,TLZ4,1351M,552M,2.35,1.07,602.14,1327.71,1.1785,0.54,0.49,81.7,34.0,2.69,no,yes,ok,LZ4HC_compress_generic_noDictCtx,296,external_tool,,,,,27.0 (26A5406e),"Mac16,10",14847.800,2184.000,30.529721,1.051620,0.4393,0.1482,,
claw-code,4,ZSTD,1351M,366M,2.94,2.07,481.65,685.34,0.7806,0.68,0.95,394.2,409.8,3.39,no,yes,ok,ZSTD_compressBlock_lazy2_row,165,external_tool,,,,,27.0 (26A5406e),"Mac16,10",13791.833,3097.333,38.257373,2.914154,0.5505,0.4106,,
